X1	ACTION1	Y1	[FILL] is/is similar to/means	X2	ACTION2	Y2	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID	
radiation			means	radiant energy			#3122		e7e8-9711-1051-9165	
	becoming		is similar to		forming		#3145		bf35-b66e-3568-c613	
the amount of something			is similar to	the availability of something			#3150		3c4e-c2ed-639b-dfbb	
amount			is similar to	abundance			#3150		10c5-1817-5215-93fa	
the crust of the Earth			is similar to	the surface of the Earth			#3150		4505-3e07-cfda-f1f5	
	to compact	together	means		to squeeze	together	#3152		f9bc-9184-2027-f812	
below			means	lower down			#3154		27ea-0171-6777-9e66	
beneath			means	below			#3158		e9c9-d042-2f59-cf52	
	to lead to		means		to cause		#3167		40d4-a3fa-d96b-ac43	
society			is similar to	culture			#3173		759b-958e-87f7-3b80	
smoke			is similar to	dust; ash			#3190		d5d5-5b77-74e3-0987	
	breaking	food into nutrients	means		preparing	food for cells	#3209		8d47-e476-fda9-d0ae	
	distributing		is similar to		carrying		#3209		9f20-ae68-5f17-258a	
	to burst		means		to be released quickly		#3213		fbf6-07d5-1a14-fd9e	
	to convert		means		to exchange		#3216		0422-c731-68a8-b7f3	
part			means	role			#3221		f202-7784-8358-80d4	
landscape			is similar to	land			#3225		e1f0-458a-7634-0dfd	
event			is similar to	occurrence			#3225		0084-ea3a-cbcf-2557	
pathogen			is similar to	harmful substance			#3226		cc8d-65bd-dfc0-9c0d	
	to study		means		to examine		#3228		c2f5-c82c-29ed-c40a	
	determining		is similar to		learning		#3228		a53e-25a9-8dd9-a726	
	recycling		is similar to		reusing		#3233		6ff6-c743-f5e7-e72b	
	to use		means		to utilize		#3241		c5fd-0ad9-d4f6-3cd6	
nutrient poor soil			means	low quality soil			#3241		8a7a-fa97-8e82-3afd	
	to make		means		to build		#3243		5236-4e67-6d80-8d37	
	to sweat		means	the body	discharges	water	#3244		1658-768f-22f1-1022	
	producing		is similar to		discharging		#3244		e4a3-0bd5-abc2-8230	
	adjusting	body temperature	means	stabilizing	body temperature		#3244		0b6d-4d7c-8fe9-b599	
	recording	data	is similar to		showing	data	#3246		f244-8401-b4ae-7ff7	
weight			means	the force of gravity	acting	on an object	#3256		bd42-1e2a-7899-2200	
cell division			means	cell reproduction			#3259		f6ea-4ae1-b63c-9db7	
	returning		is similar to		entering		#3261		0812-3ad5-00d3-60df	
near			means	local			#3268		fe8a-cac7-56ce-3982	
	to graze		means		to eat	grass	#3274		b766-4efe-0be4-9b5f	
	to wipe out	a population	means		to decrease	that population	#3281		d140-ae80-627b-7b7d	
place			means	space			#3286		573d-f68e-b0c9-d1f3	
influence			means	effect			#3286		688d-5e25-1593-79b1	
	to input		means		to add		#3290		ed5e-2a27-052b-5a12	
	to act on		means		to affect		#3292		9cbb-bf3c-0a43-dd6a	
biotic			means	living			#3302		16d1-e126-22e1-8ff8	
	to provide		means		to supply		#3305		284a-87d1-15e3-b74b	
	to bring		means		to transport		#3308		cc43-57e2-46c8-f7de	
	to return		means		to get back		#3310		3f30-7776-69e3-46d0	
chemical reactions	releasing	new substances	means	chemical reactions	forming	new substances	#3311		28f2-cd73-4e44-fc63	
	calculating		is similar to		estimating		#3312		ec04-9a0d-dc6d-de82	
	to measure		means		to calculate		#3312		99c3-c8ef-6a85-8d37	
	forming		is similar to		converting		#3316		709c-41f7-7d92-a8ba	
adverse effect			means	negative impact			#3318		a854-6874-b3e6-ce08	
instrument			means	device			#3319		d60f-a689-320c-8232	
	address	a problem	means		reduce	a problem	#3325		0696-441f-5849-600d	
	causing		is similar to		allowing		#3337		5bf9-58ec-b75f-2ca7	
	to prompt		means		to cause		#3344		9b6f-14e5-4a1c-9768	
	to cause	an event	means		to make	that event more likely	#3355		1f37-479f-42cb-30b2	
outermost			is similar to	distant			#3359		1a0b-11f8-45d8-59b3	
	to make	possible	means		to be	required	#3380		fd14-4a49-9e46-c957	
	conducting		is similar to		exchanging		#3381		0911-39ad-ba77-4aa0	
	to fuse		means		to combine		#3392		c4b6-8cd7-9dae-b75c	
meat			means	dead animal for eating			#3395		1e21-179e-d5b7-9c05	
	converting		is similar to		turning into				ba9b-ab3e-eea1-e74b	
	ocean animal		is similar to	water animal					90e9-a9f7-b9d0-f977	
tightly packed			is similar to	close					624f-20dd-918b-2e19	
	gaining		is similar to		increasing				4a57-8728-82b5-0368	
	to flow		is similar to		to transfer				9500-839b-99c4-c2e6	
fixed			is similar to	definite					1a5b-efef-25d8-c00c	
circular			means		having	the shape of a circle			fbf0-569e-09ec-ed34	
N			means	newton					c558-d843-7604-b41a	
wind chill			is	the temperature 	felt on body	due to wind speed			ce4a-8f05-d534-2463	
indefinite			means	variable					6fee-d9ae-ebb5-586b	
a yard			is 	0.9144 meter			#7579		3cb9-2255-b975-4d1d	
a hectare 			is	10^4 square meter					39c1-b574-fe17-3f62	
flight			is similar to	a movement in the air	made by	an airplane	#7591		b3fc-0f9d-d7a1-60fd	
interatomic			means		existing or acting between	atoms	#7593		d518-a81c-a9d2-0de1	
	to report		means		to show				5913-ee2a-bf9d-3322	
a liter			is	1.06 quart					1385-f748-2afe-034a	
nonconductor			is similar to	insulator					1b29-5332-5f31-91c9	
something	being independent of	something	means	that thing	is not affected by	that something			06d7-28c7-7a33-990c	
twins			means	two offspring	produced	in the same pregnancy 			f203-5b69-520b-6ec3	
a gene			is	a sequence of nucleotides		in DNA		move to PROP-THING	f45d-2650-96c2-77aa	
a chromosome			is	a DNA molecule				move to PROP-THING	21d9-6bcc-98ee-2b5d	
	determining		is similar to		controlling				10b6-b7b2-9db1-249f	
an allele			is	a different form	of	a given gene		move to PROP-THING	34b7-7736-1801-dc56	
a sequence			is	an ordered strand					0213-0fa0-f06f-df74	
	to rearrange		is		to change	position; order			d24c-f803-c449-70d5	
performance			is similar to	ability					774c-e968-2e7d-8b59	
a drummer			is	someone who plays the drums					1620-a0b7-1288-9886	
passage			is		passing				460c-f1b6-5571-808c	
genetic; hereditary			means		of	genes; heredity			f706-a593-71c6-3b34	
	to carry	something	means		to contain	something			e6e4-1d32-e9ae-2e50	
subunit			is similar to	unit					c068-9ed9-8468-0584	
section			is similar to	fragment					e1e3-0bb2-e51a-d1a8	
direction			is similar to	instruction					527b-cdb1-a93e-b8bb	
synthesis			means		to make				c348-a986-7268-99a3	
	synthesize		means		to make				22f3-ca66-7ba2-19df	
production			is similar to		making				1e37-0cdb-a934-3c29	
aspect	of	something	is similar to	part	of	something			d949-bc29-92ef-53f8	
phenotype	of	an organism	means	the visible traits	of 	an organism			68b3-3511-7742-d389	
genotype	of 	an organism	means	the genes	of 	an organism			26fd-b88a-23f6-4c78	
variety			is similar to	diversity					26b7-daf9-4f4d-050a	
one	in 	two	means	half; 50%					d175-307d-092f-6dcb	
genetic variation			is similar to	trait variation					1d0c-907a-9513-b3fe	
cubs			is similar to	offspring				move to KINDOF	8ab0-3265-81dd-8e72	
contents			means	the substance in a container			seems like it should be in another place (issue -- two relations, X contains Y, and Y is referred to as Z)		c09f-051f-519f-9414	
gaseous			means			of gas			5e16-a810-e94d-c6bf	
phase			means	state					de31-9a4c-d874-ac06	
	exploding		is similar to	explosion					04b8-cf01-a0da-975f	
combustibility			means	the ability of combustion					536e-544a-fe84-10e3	
invisible			means		cannot be seen				0eea-895a-4e30-aff5	
	to fill up	a balloon; beach ball	means		to blow up	a balloon; beach ball			3cd6-8ea0-a46b-83a9	
	to retain		means		to remain				2405-636e-e782-69b1	
	to enable		means		to allow				2a9e-94cf-aabf-bc5c	
	hardened		means		to become hard				8668-f18b-91c1-3582	
position			means	a place		in a structure			136a-7b8f-5e97-6101	
sample			is similar to	small amount of		substance; matter; material			09c2-3e04-4343-223d	
new			means	different from the former one					a421-90aa-452f-35d3	
heredity			is similar to	inheritance					5471-a509-d538-612c	
selective			means			of selection			ddd2-9952-62f7-bce3	
selection			means		choosing				aed4-eb35-2508-ccb5	
sister			means	one of the offspring					f1ee-1a38-3cb9-e1be	
single			means	one					3824-86da-05b1-4e6d	
	manufacturing		means		making				ffea-f6ac-1232-4af3	
	to originate		means		to begin				5386-344f-18f9-c1fe	
	to assemble		means		to make				d92d-915e-1181-2d30	
healthy			means		not having disease				5766-d038-0c2f-214a	
carrier			means	the ones that	carry				33b3-c222-5b1c-e5eb	
	to breed		is similar to		to reproduce				0adc-da18-d4cf-c12c	
pollinated			means	after pollination					e82d-32d4-1996-aead	
	to demonstrate		means		to exhibit				3608-7f41-edf3-e16b	
	to display		means		to exhibit				d8c1-8e71-9f54-fdd4	
	avoiding		means		doing something less				0a39-2562-1fb7-6cb9	
	doing something more		means		doing something again				611b-fc94-2d12-3913	
	undertaking		is similar to		doing				c44d-ed7c-596a-0775	
100% probability			means	always					bf96-4d9a-577f-21f1	
adult			is similar to		mature				7bbb-c0ba-73e5-41b8	
baby			is similar to		immature				cf76-89a0-195c-f346	
likelihood			is similar to	probability					c95f-1782-1f7a-24cc	
each			is simiar to	one					4d5d-edb9-013e-b1b5	
	to cross		is similar to		to reproduce				1a17-77a3-24ce-5e51	
	recycling		means		reusing				5bf6-8175-f613-89cc	
	reusing		is similar to		using many times				e66d-c17e-4b44-e5d6	
	containing		is similar to		holding				054a-84c9-3fa1-41ea	
25% probability			is similar to	one in four					e7f2-85b1-308c-77d8	
biological			means	of biology					6f28-0f22-d667-9895	
free			is similar to	unattached					71fe-85f5-f591-a3d6	
	turns		is similar to		changes				ff78-cac5-8c1b-9ded	
	to retain		means		to not change				80b1-0128-6368-0c2a	
not			is similar to	the opposite of					15b7-14dc-a4f8-202c	
	to enable		is similar to		cause				9fae-25a7-9749-9805	
the ability	to do		means		be able to do				f1d0-9676-5a63-6611	
compressibility			means	the ability	to be compressed				b4c4-87ec-c520-e95d	
	take apart		means		break down				48eb-c569-222e-0713	
intense			means	extreme					1542-3fdd-1335-5712	
a sheet of			is similar to	a piece of					41b6-d4c8-230c-490a	
	doubling		is similar to		increasing				ec91-303f-6a27-6172	
	halving		is similar to		decreasing				ad57-b94f-e9a5-98fd	
constant			means	not changing					56e8-98cf-5c84-2820	
twice the speed of			is similar to 	faster					4d84-e74d-800f-c159	
gritty			is similar to 	rough					0884-18ff-428c-d81b	
	to be submerged		means		to be placed under				d398-6b05-dac0-ee64	
	to add		means		to combine				e184-fe8e-74f9-be61	
	looking		is similar to		observing				b578-4f79-7802-b545	
denser			means	more dense					5064-8eb8-4b05-2c16	
	applying		is similar to		increasing				83c4-91a7-53cf-132f	
	wrapping		is similar to		covering				caff-4de5-d4b5-f9a7	
	to maintain		means		to not change				b7eb-bd24-9305-4e54	
sodium chloride			means	salt					bf59-50ad-03b2-6e69	
faster			means	increased rate					7653-0d23-c67f-2c85	
dissolution			is similar to	dissolving					d927-5647-10eb-56c2	
	to remain		means		to stay where it is				c604-81f1-86ac-c9aa	
	to raise		means		to add				e4ca-f42d-7b75-865f	
out			is synonymous with	outside					f5b3-ac6b-0e93-7dc1	
newborn			is similar to	baby					a166-cf7e-b213-7e9e	
	sink down		is similar to		settle				e68e-e8e6-0ea3-32b5	
	sorting		is similar to		classifying				d8ee-8358-b280-e499	
	to increase		is similar to		to create				ebfa-fdba-ed2f-9afe	
	to place in		is similar to		to move to				7b4d-e548-3faa-e50f	
	expand		means		increase	in volume			062f-4624-d9f2-b7ad	
	rising		means		moving upward				02da-ef7f-1c81-fe6d	
similarity			means	the same property					eda4-16e0-7af7-ccab	
the volume of a liquid	displaced		is similar to	the volume of a liquid	increased				11ac-c5a7-6acc-d429	
rusty			means	having rust					30d4-1a4f-6904-2427	
separate			is similar to	break down					bd90-fdaf-7f22-7773	
flammability			means	the ability	to be flammable				6954-0f98-aba0-3cd0	
arrangement			means	how something is arranged					2fb9-0f88-08a0-5db1	
	develop		is similar to		form				12dd-1f20-a24d-0921	
a period		in the periodic table	means	a row		in the periodic table			0106-185f-a411-ebcc	
	shredding		is similar to		tearing				6671-b0f8-b919-f761	
	produce		is similar to		release				6ef3-e97a-c86e-ecc4	
	speed up		means		increase				87d8-8a64-de85-47b2	
	to retain		means		to have				da06-7ae9-543d-8bcd	
a group; family		in the periodic table	means	a column		in the periodic table			ff4a-4e48-578c-07fb	
N			means	nitrogen			PROP-CHEM-ELEMSYMB	SW 2300-ec30-c22e-59ad	b841-935a-46ce-b3c9	
P			means	phosphorus			PROP-CHEM-ELEMSYMB	SW 91f3-3b25-20ab-8891	71cc-42aa-1768-1a3f	
an energy level			means	an electron shell					66a6-1a77-1f95-2ea0	
rarely			means	not					8bf2-4daa-df7d-c999	
valence electron			means	the electrons		on the outer electron shell 		move to USEDFOR	6d9a-efe8-6542-b3c7	
Na			means	sodium			PROP-CHEM-ELEMSYMB	SW 2216-50ca-b136-e7e0	55b8-4cef-c354-eef9	
K			means	potassium			PROP-CHEM-ELEMSYMB	SW d764-0e72-bb61-9660	0cc2-fe75-0b23-4aec	
chemically unreactive			is similar to	stable					348e-8506-e79d-5088	
trait			means	property					09cb-d30c-b52f-7997	
atomic number			means	proton number			MOVE TO USEDFOR	SW 69a3-a061-33ea-e758	63a1-3e2e-2717-3fd6	
He			means	helium				MOVE TO PROP-CHEM-ELEMSYMB	a0a7-ea47-a76f-1d88	
Ar			means	argon				MOVE TO PROP-CHEM-ELEMSYMB	72fb-4b67-558d-a9f6	
Ne			means	neon				MOVE TO PROP-CHEM-ELEMSYMB	162d-1e6c-47ed-3137	
according to			is similar to		be determined by				104c-ec8c-c57d-317c	
category			means	kind					3891-7a44-184e-d410	
placement			means	a place 		in an order			230d-95bc-a7f7-9c64	
orbit			means	orbital path					3b4e-37fa-74e3-24e3	
cause			is similar to	influence					63f7-3f1e-9aad-9332	
nonmetal			means	not metal					7725-066c-8062-72cf	
except			means	not					c910-777d-fe77-5d99	
not visible			means	cannot be seen					f289-e887-8c06-6676	
monthly			means	once per month					05fd-88ed-b538-e2dd	
lunar phase			is synonymous with	moon phase					7ed4-b86f-ebe6-48b1	
essential			means	required					192d-6d67-31df-f470	
non-reactive			means	unreactive					32b7-a823-6f92-4c4e	
	to stay		means		to continue to exist				28e6-4fa4-4cfb-8494	
	to decompose		means		to separate				e30d-276b-c07a-3df9	
chemicals			means	substances					3e63-f7d0-061e-01d1	
	to drive		means		to cause				ce0e-d991-2943-bbdd	
certain			is similar to	specific					278f-3f7c-a045-69db	
indication			is similar to	a piece of information					8f42-9123-4b77-c693	
general			means	usual					1508-5a12-df7d-4ba4	
rainfall			means	the amount of precipitation					bb3e-1c79-d8db-8643	
rainfall			means	precipitation					d5c7-10ff-f8b9-65f4	
air mass			means	a volume of air					6173-8a23-0c47-df9b	
	to travel up		means		to rise				aa98-dfd5-f66f-cfea	
	to be formed		means		to be originated				56c5-364b-9958-030b	
condition			means	the state of the property					9aa4-2485-fd8f-d3d5	
maritime			means	close to the ocean					a0dc-80da-938a-4f5f	
cool			means	cold					cd2a-d683-387e-61b2	
moist			means	humid					9736-3e2b-eeb0-9a01	
local			means	relating to a certain area					2569-8920-d231-b576	
	to ascend		means		to rise				683d-926e-65a0-308b	
rising			means	elevation					e655-93d9-7990-7228	
throughout			means	over					d36b-fda6-1be9-a26e	
snowfall			means	the amount of precipitation		in snow form			fc90-339a-c4c7-f673	
consistent			means	usual					505f-b4a9-d033-fb2b	
electromagnetic radiation			means	electromagnetic energy					71fe-7f84-ac6f-b391	
	to generate		means		to form				95cc-6885-53d3-85da	
	distorting		is similar to		causing an interruption				6a09-8e11-0d0c-4276	
	to pass		means		to travel				7560-035d-f03e-ea36	
oscillation			means	physical vibration					e328-1a57-175c-c8be	
media; medium			means	the material something travel through			reference		4c92-b6ee-0385-22fc	
instantaneously			means	short in time					6445-ff05-847d-46dc	
compression wave			means	longitudinal wave					49ee-4197-1605-6106	
volume			means	the loudness of a sound					4e05-4644-d8c9-bd42	
	to hit		means		to strike				17b6-04d3-1a06-0835	
	to transmit		means		to carry to another place				46b9-b4dc-c60b-9d59	
	cannot		means		not be able to				6c29-65d8-004c-8dad	
proximity			means	distance					6189-d302-e4f6-4edf	
at the top of a place			means	at the highest point of the place					ad2f-99bd-417a-a472	
up			means	upward					83c9-bdad-7f18-c4eb	
calculation			means	measurement					cbb1-fcba-5789-7156	
astronomy			is	the study of celestial (objects, bodies)					aa80-aad2-5c15-1ee1	
	recording		is similar to	measuring					b8d9-5e2d-9763-2ce0	
narrow band			is similar to	small range					a984-222d-e474-ae30	
	to subdivide		is similar to		to divide				3d51-fc0a-9439-b888	
observable			means	visible					e378-c852-d219-1332	
region			is similar to	range					e2aa-07d4-f907-6d7e	
cycle			is similar to	pattern					1d8f-dee7-1f0c-2ff5	
spin			means	rotate					ebd1-9bd4-eefa-1227	
move around			means	revolve					ad20-ec45-0fa9-57cc	
rotate			is similar to	revolve					bdca-92db-0673-38f6	
	to be capable		means		can				ed73-82c5-dee8-5d80	
shorter			means	decreased length					5073-e96f-517d-a05f	
light rays			means	light					7766-76a3-543e-46e1	
composition			means	the (materials, substances) of which something is composed					a5b0-53da-a4b9-21b5	
spectrum			means	a range of colors					0c72-7208-0739-a792	
	to disperse		means		to separate				f225-8e52-1ae1-4604	
	to focus		means		to concentrate				001a-682f-11e4-e052	
	to cross		means		to pass				9241-c40f-53f2-79bc	
	to split		means		to break down				21a8-337d-cafd-4710	
largest amount			means	most					6356-35ea-f51a-4067	
concentration			means	amount					6e3e-02b9-0dad-dece	
	give off		is similar to		make				9749-fd22-c617-e673	
consistent			means	constant					4c0f-0d1d-2491-59ec	
	to be helpful		means		to help to do				6593-b6a9-3c4d-e96b	
lifetime			is similar to	life cycle					5280-edd8-690b-870e	
	powering		is similar to		fueling				0a89-bce2-ad4a-02c6	
aspect			is similar to	property					b070-d7e4-bcdd-d411	
	appearing		is similar to		seeming				f12f-7296-5ad4-66e2	
light bulb			means	lightbulb					7fd3-d6dc-c194-0f26	
	to prevent		means		to make it not happen				b5e1-9abe-5812-f2d7	
	to run through		means		to transfer				7132-3563-39ed-b22f	
	closing		is similar to		completing				cc8f-746c-028b-cc0a	
	looping		is similar to		wrapping				b526-14a1-517b-3e0a	
	causing		is similar to		generating				c4f3-1429-a201-bf24	
	rotating		is similar to		moving				ce3d-c6f1-18cd-dc91	
	convert		is similar to		transfer				e71b-8c64-28ed-3677	
road			is similar to	ground					eb0a-f300-7bde-0924	
brightness			means	amount of light					f48c-4c5c-7450-1b8c	
all the time			means	at day and at night					d5b1-0515-2546-3e4e	
system			is similar to	structure					e3d8-b77f-636e-fa10	
massive			means	giant					7ce5-1ccf-90bd-ca60	
distant			means	far away					93d3-a9a2-f9e9-5860	
icy			means	made of ice					4be5-08dc-6f76-b070	
shooting star			is synonymous with	meteor					aeb8-cb49-71ac-de4f	
	passing through		is similar to		entering				1ee0-f6d1-71ec-42ae	
stellar			means	related to stars					aafa-68d6-9c61-4b4f	
	classify		is similar to		characterize				9934-3bd4-b0bc-7a24	
massive			is similar to	large					b334-dd8f-c043-8d42	
	live		is similar to		stay				f3f3-263b-5b12-95f3	
period			is similar to	amount of time					4b22-f61f-7568-10c3	
remains			is similar to	dead organisms					0163-db99-2818-250a	
power station			means	power plant					952e-ac78-f212-68db	
consumption			means	use					1bea-5b13-a11c-7905	
once-living			means	dead					bcfb-6f90-61bf-55c6	
tidal			means	related to tides					ae83-1f30-e756-2f7c	
trade-off			means		balancing 	the negative impact and the positive impact			8563-4e6a-6cd5-d94d	
solar cell			is similar to	photovoltaic cell					673d-b928-1d98-7e31	
	replenish		is similar to		replace				2cb4-44c5-0199-cd70	
	recycling		means		using over again				8177-bd67-cdf8-6c02	
battery-powered			is similar to	battery-operated					847a-e92f-adf7-18fb	
not efficient			means	inefficient					f544-2cac-7315-3753	
	storing energy in batteries		means		charging batteries				de6c-430c-40e4-35d4	
summit			means	the top of the mountain					5fa0-506a-0153-efd3	
buildup			means	increase					10e1-7f29-2bd5-c9ce	
saturation of oxygen			means	oxidized					6dc6-60e1-fd70-bf06	
accumulation			means	increase					bb82-7504-071e-2d40	
form			is similar to	body					6334-08e6-6cba-e119	
soil fertility			means	the ability of soil to sustain plant growth					2137-7934-4c51-573e	
reducing			is similar to	slowing					2ba6-0a3d-b9eb-7340	
	degrading		is similar to		having a negative impact				00b1-29b6-4e4d-86f8	
	converting		is similar to		generating				77c5-31ca-27fa-bbb2	
solar power			means	solar energy					b19d-499c-1f30-c429	
deforestation			is	the process of cutting down trees					fc89-46d1-f058-2a39	
	clearing a forest		is similar to	deforestation					7d73-7555-274c-15d4	
overuse			is similar to	depletion					54c3-cdb2-34c2-3a29	
	decreasing		is similar to		becoming smaller				422f-de38-b41e-76fe	
organic			is similar to	natural					a985-0902-72c4-d8ff	
biogas			means	biofuel					a6e6-ba89-66d6-64a7	
hydropower			means	hydroelectric power					c910-b0d4-3035-e6bd	
soft drink			means	soda					5dc8-689a-29c5-7f4c	
	manufacture		means		make				fe75-ad3f-1ce0-3691	
	over hunting		means		overhunting				ba62-3a9a-a6b4-41f2	
rhino			means		rhinoceroses				8bf7-853d-d8b6-db6e	
problem			is similar to	issue					9b0d-7d09-9a9f-d6dc	
alteration			means	change					0822-37ca-9966-4f8e	
the wild			is similar to	nature					7fc8-7658-e6c2-7021	
	to cause		is similar to		bring				1ced-cf2e-c041-478c	
	accounting for		means		making up	some amount			2d95-10b7-c07a-53ad	
a layer of the atmosphere			is similar to	a region of the atmosphere					fa65-e9da-29a6-4e7a	
energy conversion			is similar to	energy transformation					a67b-a715-13a4-9b5d	
	to split		means		to divide				bd59-6ba1-37f6-b960	
	colliding		means		coming into a collision				c026-d9c8-b59c-599f	
	to give		is similar to		to cause				b949-9e0c-0ea0-b168	
system			means	a set of objects					8bda-73c4-873a-9200	
fresh water			means	freshwater					1fc0-1a1e-2e4e-6bc7	
	to settle below		is similar to		to flow underneath				15d5-c1b6-b703-194c	
the majority of			is similar to	the largest amount					9288-9be3-8bd8-b6ac	
mostly			means	being the most					2e11-d6bb-e234-8ba8	
polar			means	of the pole					9340-b576-c215-a5d2	
	to be believed to be		is similar to	maybe					a303-2c34-476c-dd8a	
	disrupting		is similar to		having a negative impact				44e4-228a-b13d-4aec	
atmospheric			means	of the atmosphere					ce20-aa55-4cf2-45e1	
	to vary		means		to change				4bcf-f3f5-5082-1a9d	
variation			means	change					e9f3-2472-7779-5236	
	occur		is similar to		appear				74dc-7ba7-e70b-60cf	
the sky			is similar to	space					dd7d-0d6d-91f5-1a83	
crust			is similar to	surface					dceb-fb63-a5b9-cb81	
massive			means	great in mass					56a5-4499-b3ab-b36c	
water level			is similar to	ocean level					1574-3e0c-0dbc-2485	
spring tide			is similar to	high tide					38a0-db1a-ac8d-276b	
final			means	last					aff0-c92e-1725-a8fb	
	to be characterized by 	a property	means		to have that property				0bdc-8b2a-e9a8-4995	
nonmetal			means	nonmetals					02c7-a9c0-8c4b-f5a6	
atomic			means	of the atom					4465-fcc1-3456-6eb9	
ninety-nine percent			is similar to	most					d366-ae35-ca56-9a6d	
	to take up		is similar to		occupy				fa5c-3d04-9fca-dc5e	
^+ 			means	positive charge					6fd1-8b2d-613a-da42	
sum			means		adding				bc92-76fe-2ce4-a10b	
	maintaining		is similar to		having				c3ef-8b1f-8e50-17a4	
	being derived from		is similar to		being formed				4a61-e0f7-bdef-2966	
rapidly			is similar to	fast					2b0f-b11e-ddcb-bdab	
	to comprise		is similar to		make				3266-83d4-8758-2411	
	subduct under		is similar to		settle below				2d2e-d0f1-910b-d802	
a layer of something			is similar to	the area of something					fd87-f407-8893-4549	
sandy			means	made of a high amount of sand					7ce0-ec07-7578-ac41	
	draining water slowly		is similar to		retaining water				b26b-0f95-9f51-699a	
	draining water quickly		is similar to		transmitting water				efe1-46b3-e967-c3f1	
water retention			is similar to		retaining water				346c-5609-004f-1a28	
anaerobic			means	without oxygen					1a50-9269-e24f-2e78	
	causing harm		is similar to		threatening				bbba-4e05-5a6b-5a46	
	drop 	somthing 	is similar to		move	something			0c5b-d96c-dada-d1eb	
sediment			means	deposited materials					e363-ee27-3eaf-6fed	
	empty into	a body of water	means		enters	a body of water			7fab-6b34-d406-4fbf	
volume			is similar to	amount					c148-551c-f694-3d6b	
rounding			means	making the shape round					24aa-04ec-f70c-3f1a	
a layer of something			is similar to	a part of something					8fd1-f680-7c41-a401	
	to penetrate		is similar to		enter				9d86-621e-3070-1b4b	
slowest in time			is similar to	taking the longest time					8ce3-0183-bbda-2ce1	
	rubbing		is similar to		scratching				33a3-71a9-c3bd-fd6a	
fractured			is similar to	cracked					97aa-03d4-6123-59e7	
accounting for			is similar to	causing					4e0c-760d-e841-00cf	
mechanical weathering			means	physical weathering					6cda-f0b2-9b40-f193	
ice wedging			is similar to	ice fracturing					dbb7-52eb-4b0c-2fb3	
	diminishing		is similar to		decreasing				b382-bc4b-1afc-dffb	
rocky debris			means	debris of rocks					2f03-1b33-4f5b-b443	
volcanic mountains			means	volcanoes					2d88-a018-1558-e7ec	
	building up		is similar to		forming				c1b9-747b-f8e7-21da	
the origin of the rocks			means	the way the rocks are formed					eb4e-1916-1113-3195	
evaporative			means	of evaporation					ed78-01fb-493d-965f	
tremendous			means	intense					8190-3d7e-c08a-9fab	
recognizable property			means	the properties that can be used to identify something					3ebc-3daf-7c20-c38f	
specimen			is similar to	sample					a2ba-3303-34b8-7879	
age			means	the amount of time passed since something is formed					f24c-1ea5-2c45-6cb2	
existence			is similar to		living				498f-fdc8-87f9-36b3	
	differentiate		is similar to		classify				3228-47cf-2161-f8e6	
extrusive igneous rock			is similar to	volcanic rock					04d2-883b-b1a9-b5eb	
nearby			is similar to	near					0eb0-0d80-f5ab-beb0	
crystallization			is similar to		crystallizing				5c27-8ff0-604e-ea8a	
rocks in liquid state			is similar to	melted rock					a270-eb87-52ec-132b	
slowly			is similar to	decreased rate					e248-d19e-6808-9745	
compressed rock			means	sedimentary rock					4e6f-08b4-802f-d9c1	
compaction			means	the process of compacting					740e-8993-0170-55b5	
sand grains			means	sand					6d11-8b15-d5df-e840	
	compressing		is similar to		compacting				30c4-a709-1c0b-0c79	
cementation			means	the process of cementing					5244-c323-279b-e5f6	
	cementing		is similar to		hardening				f7ac-b005-4ecd-b454	
	compacting		is similar to		pressing				af2c-2ec5-1116-c6bf	
	settling on something		is similar to		piling up on something				fb58-cd2f-41ca-b390	
sequential			is similar to	ordered					6827-a4de-d5bd-ea17	
organic			is similar to	of organism					19dc-32da-d19f-7fce	
underwater			means	covered by water					414a-92ce-d465-77ad	
sea organism			is similar to	water animal and water plant					7118-e2bf-61fd-ce56	
once			is similar to	in the past					90f0-66b2-5684-ff2d	
the inner core of Earth			is similar to	the innermost part of Earth					dc61-7507-730b-e5cf	
	to become		is similar to		change into				daab-d8a6-e4fd-8b60	
	to be under the exposure of		is similar to		be subjected to				e5e1-942c-6397-c6ee	
	to press		is similar to		add pressure on				8e8b-c602-7455-a8a7	
	cementing		is similar to		sticking together				22c7-73e7-1323-8c77	
a wildfire			means	a fire 	that spreads fast				1949-c288-e2fb-c35c	
	making something available		is similar to		providing				f023-0e18-19be-ee5e	
marine			means		relating to	the sea			fffd-fe33-7bd1-c93e	
hereditary information			is similar to	genetic information					27fc-fa35-26b0-5df7	
no charge			is similar to	neutral electric charge					2238-8986-3bdf-5675	
more quickly			is similar to	increased rate					d499-8b17-3646-fdf8	
	rise		is similar to		increase				1db8-7615-aa61-9575	
	fall		is similar to		decrease				b761-0e77-9f87-bf6d	
