[FILL] a/the	HYPONYM	[FILL] is a kind of	SCOPE1	HYPERNYM	[FILL] for	FOR/PURPOSE	BY/THROUGH/HOW	SCOPE2	QUANTITY/RANGE	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID	
a	marsh willow herb	is a kind of		plant								ab88-7ab1-d6b7-0e6c	
	Maryland	is a kind of		region								6162-d2c2-b79d-8b17	
	mast cells	are a kind of		white blood cell						# Q 2421		efce-6c09-2791-1993	
	material composition	is a kind of	chemical	property						#253		de82-e643-178a-0a7b	
a	meadow	is a kind of		environment						#892		3d8c-f05c-51e2-38f2	
a	measurement	is a kind of		data						#1428		6fc4-8091-f720-3e33	
	measuring	is a kind of		observing						#793		8d99-ff62-bcc7-7086	
	measuring	is a kind of	science	skill						#411		a3a3-2470-8532-b386	
a	measuring cup	is a kind of		tool	for	measuring the volume of substances				#1607		c7d1-4ec6-f471-6218	
	meat	is a kind of		food						#3327		4835-d04c-8dec-593d	
	mechanical energy	is a kind of		energy								3144-f8f2-43a4-8712	
	mechanical weathering	is a kind of		weathering								cdbb-0393-4277-215d	
a	mechanism	is a kind of		system	that	performs a function				#2639		1ae2-1773-ab1a-496a	
	melting	is a kind of		phase change						#374		fae9-3cca-92cd-bf20	
	melting	is a kind of		process						#1362		36f6-e94f-8780-1897	
	Mercury	is a kind of		planet						#2842		106b-d671-313e-b596	
	mercury	is a kind of		element						#3283		bb84-8235-97e8-2249	
	metal	is a kind of		material						# Q 239		95c4-ec5e-bce9-afd8	
	metal	is a kind of	natural	resource						# Q 1185		6f65-9a3a-f9f4-0c74	
a	metal	is a kind of		element						# Q 2503		45fd-c59e-5a62-43ce	
	metamorphic	is a kind of		rock								28e0-0efa-52fc-4134	
	metamorphic rock	is a kind of		rock								96ab-0b82-8d18-ca9a	
	metamorphosed rock	is a kind of		rock								ad7e-df9b-5e06-8e42	
	metamorphosis	is a kind of		process						#1023		ad2b-8827-7838-449a	
a	meter	is a kind of		unit	for	measuring distance; measuring length						65b3-196a-be1f-b9be	
a	meter stick	is a kind of		tool	for	measuring length; measuring distance						1958-4336-80f2-90bd	
	mica	is a kind of		mineral						# Q 74		d332-396d-4f4f-cda0	
a	microorganism	is a kind of		decomposer						#1658		a817-2b63-7962-2e34	
a	microscope	is a kind of		tool	for	observing small things						28d0-868d-1eee-0150	
an	electron microscope	is a kind of		tool	for	observing very small things						6d0c-2d6f-b005-1b77	
	migration	is a kind of		adaptation								0b85-1757-0b30-a8a2	
	migration	is a kind of		behavior						#144		fcee-e796-d013-02ae	
	miles	are a kind of		unit	for	measuring distance						0b1f-b391-f485-1e6a	
	milk	is a kind of		food						#1256		5db9-95b3-3826-14c0	
	milliliters	is a kind of		unit	for	measuring volume of liquids						2a97-db62-2708-bd9d	
a	mineral	is a kind of	solid; natural	material						#267		f294-6f62-2e34-4af0	
a	mineral	is a kind of		object								8435-aecd-2348-6182	
	minutes	are a kind of		unit	for	measuring time						09c7-65ed-43a7-93c0	
a	mirror	is a kind of	reflective	object								4478-dd94-9b15-a346	
the	Mississippi Delta	is a kind of		delta						# Q 1937		2301-85aa-b20b-8250	
a	mitochondrion	is a kind of	cellular	organelle						#2840		30eb-acc6-eb4c-3465	
	mixing	is a kind of		activity						#2003		39b7-6128-a6ae-5d97	
a	mixture	is a kind of		substance						# Q 2496		4e66-5eec-133c-0f66	
	moisture	is a kind of	environmental	factor						#1244		926e-6eea-3b5a-f747	
	mold	is a kind of		fungus								0d28-3295-e473-c310	
	mold spores	are a kind of		particle						#3295		8e8a-6255-6ef0-3112	
a	molecule	is a kind of		object						# Q 284		e740-00aa-e89d-8af1	
a	mollusk	is a kind of		animal						#3063		ad7e-c60e-6450-fd7a	
	Monday	is a kind of		day of the week						#2186		2c23-dc4d-c618-2570	
a	monkey	is a kind of		mammal						# Q 683		b412-34c8-f228-654b	
	months	are a kind of		unit	for	measuring time						a3c6-f26b-2009-9503	
a	moon	is a kind of	celestial	object; body						#418		e2ec-1655-c1fd-cb58	
a	moon	is a kind of		satellite								a0cd-50c8-3696-fc4b	
a	moose	is a kind of		animal								a516-6fce-fea3-4280	
a	morning glory	is a kind of		vine						#438		8e4b-7a86-b2a2-8e1c	
a	mosquito	is a kind of		insect						#343		756d-c15b-040c-76e2	
a	mosquito	is a kind of		insect						# Q 2401		8cf4-3f0e-bfba-1864	
	moss	is a kind of		plant						#3267		3952-6327-2a73-a103	
a	moth	is a kind of		insect						#1321		4c05-ce97-15e0-e7d5	
a	mother	is a kind of	female	parent						# Q 2459		e24d-545b-3580-449d	
a	motion	is a kind of		event; action						#1056		e901-c400-086c-8302	
a	motorcycle	is a kind of		automobile						#2676		c9c3-ae93-6335-a96e	
a	mound	is a kind of		landform						#2960		b4d2-a777-90c9-f95a	
a	mountain	is a kind of		landform						#789		0e02-5e2b-3793-96d3	
a	mountain chorus frog	is a kind of		animal								f050-0c35-8aca-2a52	
a	mountain chorus frog	is a kind of		frog								acb4-aae4-4bf6-25e0	
a	mountain; mountain range	is a kind of		environment						# Q 43 		2fcb-3708-8590-8eee	
a	mouse	is a kind of		animal								782f-7770-b8be-f40e	
a	mouse	is a kind of		mammal						# Q 683		7ee2-781c-6f14-a31a	
	movement	is a kind of		change						#164		e9d9-325b-c54c-5f88	
	movements of celestial bodies	are a kind of		event						# Q 1121		e30e-09e8-1ee7-fdf6	
	moving something	is a kind of		function						#3287		ef1b-f200-2179-f450	
a	multicellular organism	is a kind of		living thing								a92e-cb62-22ee-5ddf	
	muscle tissue	is a kind of		tissue						#2685		a462-a17a-ef22-fc9a	
the	muscular system	is a kind of	body; organ	system						#1307		5a16-c4db-72e5-13ff	
a	mushroom	is a kind of		fungus								ea91-5664-cefc-e7ee	
a	mushroom	is a kind of		living thing								a666-e28c-98d8-169b	
a	musical instrument	is a kind of		object						#293		300d-4b3b-57dd-2056	
a	mussel	is a kind of	water	animal						#532		0560-dd88-068a-fc05	
	mussels	are a kind of		aquatic animal						# Q 2525		86fb-daa4-2302-6343	
	mutualism	is a kind of	symbiotic	relationship						# Q 2251		6a26-a5fb-df34-076d	
a	nail	is a kind of		object						#251		b3d3-c3da-3c51-659e	
	natural gas	is a kind of		fossil fuel								2355-0cfa-86f8-5767	
	natural gas	is a kind of		nonrenewable resource							Moved to PROP-RESOURCES-RENEWABLE	1435-7afa-ec2f-fb78	
a	natural resource	is a kind of		environmental factor						# Q 659		aa69-b4c1-b1e1-9000	
a	nature preserve	is a kind of	protected	area								baab-4c47-5b41-9747	
a	nature preserve	is a kind of		habitat								2b64-01c6-e21e-b32b	
a	needle	is a kind of		object						#795		7b15-d12e-457b-2d61	
a	needle floating in water	is a kind of		compass						#2810		f22e-2807-4c8d-8040	
	Neptune	is a kind of		planet				in the solar system		# Q 2229		9803-3975-7c41-48b6	
a	nerve cell	is a kind of		cell						# Q 2474		15d0-37f8-6ef6-2fff	
the	nervous system	is a kind of	body; organ	system						#465		0fda-acea-84f6-b616	
a	nest	is a kind of		resource				for a bird		#1280		fe0e-38e0-f82f-e92a	
a	nest	is a kind of		shelter	for	birds				#1689		af00-5b27-b27b-3f63	
	nest building	is a kind of		adaptation						#721		b97c-e53f-7627-7e7e	
	nest building	is a kind of		behavior						# Q 2265		ab22-06c7-d434-5d88	
a	neuron	is a kind of	nervous system	cell						#3266		dfb4-3faa-969c-ae6f	
a	new moon	is a kind of		phase of the moon						# Q 676		cb3b-8b0b-8cfe-a3e2	
	nitrogen	is a kind of		element						#1323		2d67-baa5-abb9-5015	
	nitrogen	is a kind of		gas						# Q 2443		8005-4f1a-6744-1a05	
	nonmetallic	is a kind of		luster						# Q 74		81dc-99bd-7476-6fea	
	noon	is a kind of		time				of day		#567		655d-4374-fd1d-a906	
	Norfolk	is a kind of		town						#490		aa31-b3ca-a8ab-afbd	
	north; northward	is a kind of		direction						#437		ed71-4003-23bd-6b98	
the	North Pole	is a kind of		location						# Q 211		2a94-c730-703f-d4e6	
the	Northern Hemisphere	is a kind of		hemisphere				of Earth		# Q 2149		8745-b081-65b5-bc99	
	nuclear fusion	is a kind of	nuclear	reaction						# Q 1702		bf6e-59c8-a896-c3cb	
the	nucleus	is a kind of	cell	organelle						#3304		d24b-948b-4f00-4b3c	
a	nutrient	is a kind of		chemical compound								22fa-ad68-2139-24d0	
a	nutrient	is a kind of		object						#2965		bbfa-2b45-d110-182c	
	nutrients	are a kind of		matter						#1895		3e9a-e391-5052-6b55	
	nutrients	are a kind of		resource						#1237		994e-e3fd-47a0-decb	
	nutrients	are a kind of		substance						# Q 2532		1737-f8b3-1991-b1f6	
	nutrients	are a kind of		material						#3100		bfb3-f193-7f43-0e07	
	nuts	are a kind of		fruit						# Q 152		8160-3018-c7df-ea68	
an	oak	is a kind of		tree						#379		02a0-8f5c-4e3a-a064	
an	ocean	is a kind of		body of water								466a-2c15-ac54-8361	
an	octopus	is a kind of		animal						#1499		d0f6-3d4b-e8bf-dcf4	
	oil	is a kind of	fossil	fuel						#1412		3092-233a-f999-2512	
	oil	is a kind of		liquid						#829		2eff-c9c0-c7aa-f4b2	
	oil	is a kind of		liquid						#2051		7779-45c7-0fb8-b534	
	oil	is a kind of		pollutant						# Q 663		3879-d557-003d-491a	
	oil	is a kind of	nonrenewable	resource						# Q 987	Moved to PROP-RESOURCES-RENEWABLE	d8d9-4774-8a52-3a0d	
	oil	is a kind of		substance; matter						#2017		2806-8957-c846-253b	
	one	is a kind of		number						#293		9294-541c-2211-ce63	
an	onion	is a kind of		vegetable						# Q 940		1871-0cbf-610d-1e47	
	opposite	is a kind of		different						#1321		f4b8-4f96-90d9-7e04	
	orange	is a kind of		color								103a-3db0-f4b2-d7a7	
an	orange	is a kind of		fruit						#2651		8df7-53bc-9544-15b3	
an	orange tree	is a kind of		tree						#1244		de9a-8956-c029-70af	
an	orbit	is a kind of	regular	path						# Q 1541		c1c4-26a9-2671-aebc	
	orbiting	is a kind of		action						#2355		74d8-8ad5-7866-0cbd	
an	osprey	is a kind of		bird						# Q 1531		150d-8fc1-9d5d-32da	
an	otter	is a kind of	aquatic	animal						#817		a328-84da-ecad-102f	
an	ounce	is a kind of		unit	for	measuring mass						0a48-259f-8e93-894c	
the	ovaries	are a kind of		organ						# Q 2417		6ac5-59ce-ae66-2717	
an	owl	is a kind of		bird						#1887		4e05-518c-0615-1082	
	oxygen	is a kind of		gas				at room temperature				16b7-673f-bc0d-ed99	
	oxygen	is a kind of		resource						#3187		e1ba-a047-71bc-aa1e	
	oxygen 	is a kind of		element						# Q 922		936b-92a1-0e96-0846	
	oysters	are a kind of		aquatic animal						# Q 2525		6dc7-b7d5-bd27-f43c	
a	pail	is a kind of		container						#1699		3f9b-f0b8-3284-7aca	
a	palm tree	is a kind of		tree						# Q 2140		9ad6-aa1b-0ea4-f31a	
a	pan	is a kind of		object						#1031		aeeb-c836-d4a0-9a0c	
a	pan;frying pan	is a kind of		container	for	cooking; food						a18a-21be-3303-f9b8	
a	panel	is a kind of		object						#503		1258-c7db-9d8e-88f3	
	paper	is a kind of		material						# Q 121		1c5c-3f13-e713-63f5	
a	paper	is a kind of		object								9098-c80a-ed21-5447	
a	paper bag	is a kind of		object								55b0-655c-6c67-2cf5	
a	paper clip	is a kind of		object						# Q 1131		a5e7-8257-cf9d-c8ef	
an	paramecium	is a kind of		organism						#3052		f2d8-55c9-8864-4498	
	parasitism	is a kind of	symbiotic	relationship						# Q 2251		f5f8-7058-655d-3bb5	
a	park	is a kind of		environment						#1363		32c3-1671-f654-dcb7	
a	parrot	is a kind of		bird						#3336		69c5-8269-bde6-1778	
a	particle	is a kind of		object						#730		d4a7-ea98-8609-0e2d	
	particles in objects	are a kind of		matter						#1059		1278-7e0e-79a5-2547	
	passing	is a kind of		action						#3283		c19c-9215-c9bf-28cc	
	pasteurization	is a kind of		process								932b-ef93-f3dd-c1f7	
	path	is a kind of		pathway								1ad9-0754-9bf3-7610	
a	pathway	is a kind of		plane						#547		56ab-4514-2109-0942	
a	peach tree	is a kind of		tree						# Q 80		7886-d60a-8794-0c18	
	peas	are a kind of		plant								bac2-9c22-0662-4dcd	
	peas	is a kind of		seed								9711-e2b0-af9e-1208	
a	pebble	is a kind of	small	rock						# Q 220		9815-d368-af06-bf1c	
	pebbles	are a kind of		material						#1005		7fcb-f383-0c03-e6a0	
a	pecan tree	is a kind of		tree						#		a51c-ef9e-4258-374f	
a	pedal	is a kind of		lever								d84c-d7b5-8ac9-478f	
a	pedigree chart	is a kind of		model						#2911		d1de-e38b-4319-4d2d	
a	pencil	is a kind of		object								e729-2ae7-04b3-9240	
	pepper	is a kind of		solid						#1093		ecc4-5d16-aaa4-3595	
	percents; ratios	are a kind of		data						# Q 2429		fbc0-a674-68ff-899a	
a	person	is a kind of		animal								b749-39eb-d9be-228a	
	petroleum	is a kind of	fossil	fuel						#2867		88c2-bbdf-af6c-6742	
a	phase change	is a kind of	physical	change						# Q 1737		b6d6-89d9-43a5-fd91	
a	phenomenum	is a kind of		event						#2822		e6b5-0437-b6e1-10bc	
	photosynthesis	is a kind of	chemical 	process								7309-3070-fa70-cad9	
a	physicist	is a kind of		scientist						#522		add6-007e-31dc-2dda	
	phytoplankton	is a kind of		plant						#3307		c21a-0408-2a29-4b82	
a	piano	is a kind of	musical	instrument						#1087		1ccb-478a-9689-4e12	
a	piece of something	is a kind of		object						# Q 909		52a3-125f-af5d-1f1c	
	pile	is a kind of		motion								29b4-6a08-3db7-782f	
	piles of rock	are a kind of		landform						# Q 1138		c7d3-bf39-278c-9647	
a	pine tree	is a kind of		tree								8d1a-ae77-8695-f8b6	
	pink	is a kind of		color						#3324		ba6b-2114-c011-3b87	
a	pipe	is a kind of		object						#1825		43aa-47f0-c8a3-dce6	
	placing	is a kind of		action						#3159		3ca4-a03b-9ae5-f1ee	
a	plain	is a kind of		environment						#1625		1bd2-1b6a-cc78-3af3	
a	plain	is a kind of		landform								089e-dcd5-b124-189c	
a	planet	is a kind of	celestial	object; body						#418		22a2-1029-702e-a29a	
a	planet	is a kind of		place						#3357		ee00-d173-1b21-e6b0	
a	plankton	is a kind of		animal						#366		7821-1a7c-405f-2393	
a	plant	is a kind of		living thing								2e89-d8e8-a8fb-9acc	
a	plant	is a kind of		living thing							Duplicate. All used deleted.	7076-a98b-7c81-2cae	
a	plant	is a kind of		organism								26c3-eec4-e1d0-fac5	
a	plant cell	is a kind of		cell						# Q 88		816a-0510-1046-441e	
	Plantae	is a kind of	biological	kingdom						#2309		b021-6641-4c5f-5aea	
	planting	is a kind of	human	action						#1891		06da-24f1-4d68-fccc	
	planting crops	is a kind of		activity						#1227		fbe1-1231-31db-cc93	
	plants	are a kind of		resource						#1440		091e-de33-5241-07bb	
	plants appearing on Earth	is a kind of		event						# Q 1918		f608-68a4-9b75-3800	
	plasma	is a kind of		state of matter						#545		fcce-8881-7921-d9d2	
	plastic	is a kind of		electrical insulator								9710-2f26-70ba-a122	
	plastic	is a kind of		material				made by humans		# Q 647		b24b-be1d-9e0d-4037	
	plate tectonics	is a kind of		process						# Q 1148		e490-5554-4225-68e2	
	pliers	are a kind of	hand	tool						# Q 2280		64df-5435-c3bd-0d71	
	Pluto	is a kind of		dwarf planet								1230-534f-c1fb-8a2a	
a	poison	is a kind of		substance						#51		f184-e4d0-25d9-d4c7	
a	polar bear	is a kind of		bear						# Q 1720		cef3-cbfc-0564-ae29	
	pollinating	is a kind of		function						# 1559		a99f-fa5c-c233-1d3c	
	pollination	is a kind of		process	for	plant reproduction				STAGE-INPROCESS	SW e477-2c0c-9782-8b1b	f55b-507a-c8f0-2acf	
a	pollutant	is a kind of		substance						# Q 2256		3aa8-4d75-0781-e5c5	
	polluting	is a kind of		activity						#397		0a09-b3f6-9229-9511	
	polluting gasses	are a kind of		pollution						# Q 651		5509-45e6-fb83-8003	
a	pollutions standard	is a kind of		standard	for	reducing	pollutants emitted	by vehicles; by factories		#272		1fa0-bd7e-3b50-b250	
a	pond	is a kind of		body of water								2a41-7224-fbc2-ba94	
a	pond	is a kind of		environment								e37d-8beb-fc76-3e82	
a	pond	is a kind of		habitat						water habitat?		9f21-978a-56e9-2a20	
a	pool	is a kind of		body of water						#1420		7ebb-7a94-af1e-9fa9	
a	pool ball; billiard ball	is a kind of		ball						# Q 2546		8091-55fc-59d1-77a2	
a	pot	is a kind of		container								4a8d-ee0c-6d0f-d1e8	
a	pot	is a kind of		object						#1869		96a6-5b63-d917-e649	
a	pound	is a kind of		unit	for	measuring mass						dd24-6f15-cb10-52a2	
	pouring	is a kind of		activity						#2200		1d93-ec14-264b-13bf	
a	prairie dog	is a kind of		animal						# Q 1156		8130-7bd7-79e3-67cf	
	precipitation	is a kind of	natural	occurrence; cause						# Q 688		83c7-bb21-6c58-9534	
	precipitation	is a kind of		weather								86b0-5c6f-cd54-4d52	
	precipitation	is a kind of 	natural	process						# Q 2480		a687-4d6c-825b-27a4	
a	predator	is a kind of		animal								8ece-a376-c847-9127	
a	predator	is a kind of		enemy				to its prey		#777		0d35-1653-d1f5-29f2	
	prey	is a kind of		food	for	predators						d719-81ad-03ff-57f0	
	prey 	is a kind of		animal						# Q 910		8c3a-8bf8-70a4-5d30	
a	prism	is a kind of		object						#1057		9511-f01b-f849-79ca	
a	prism	is a kind of		tool	for	refracting light				#731		237d-6b78-ad88-e3b4	
a	process	is a kind of		event								3b7f-815d-511b-c7bb	
a	producer	is a kind of		living thing								6307-398c-de48-8773	
	producer	is a kind of		role				in the food chain process; in an ecosystem				3bad-691a-15c4-44f6	
	producing	is a kind of		function						# Q 1557		541c-2eac-6ed4-ea6a	
	producing	is a kind of		process						#2959		4196-2a0c-524d-82a0	
a	product	is a kind of		object						# Q 1150		e9b5-edaa-0d49-f73a	
a	prong	is a kind of		object						# Q 35		d9e7-bba2-e42c-95af	
a	property	is a kind of		information						# Q 463		b31b-67cf-066a-859c	
	propulsion	is a kind of		subsystem				of a spacecraft		#2323		6261-3e16-abe1-5817	
	protecting	is a kind of		function						#766		401b-d6f7-6bc5-3718	
a	protein	is a kind of		nutrient						#3269		2271-a22d-930a-7662	
	Protista	is a kind of	biological	kingdom						#3062		088d-f24f-51c5-bd93	
a	prototype	is a kind of		object						#2389		097b-e982-03c6-9dde	
a	protozoan	is a kind of		animal						#2686		bc06-c798-9541-6413	
a	protractor	is a kind of		tool	for	measuring the angles of a triangular object				#2962		5c21-2b5a-75b8-edca	
	providing	is a kind of		function						#836		c8c6-5825-8e18-f509	
	providing structure	is a kind of		function						#3346		a617-2cd4-da7e-6e6b	
	providing support	is a kind of		function						#2025		aefd-91ae-8cfa-8c9e	
	public transportation	is a kind of		way of commuting						#2863		14bf-bfff-4d12-9f09	
a	puddle	is a kind of		body of water								65d3-05bf-28db-3f1a	
a	pull	is a kind of		force						# Q 449		7650-49b9-49e2-621d	
a	pulley	is a kind of		simple machine								bb60-4e0b-60fd-ba84	
	pulling	is a kind of		motion								cffc-a299-4321-b49d	
	pulling a plow	is a kind of		chore						#744		6bf2-704e-e347-88d8	
	pumice	is a kind of		igneous rock								236b-7456-aa80-d1b2	
a	pumpkin	is a kind of		gourd								62fd-87cf-2e18-fdae	
a	puppy	is a kind of	young; baby	dog							Moved to Proto-Instances table	67d1-3153-14a9-1995	
	purple;violet;magenta	is a kind of		color								799b-aef6-8f37-da4b	
	push	is a kind of		force; application of force								211f-8a51-037c-704c	
	pushing	is a kind of		motion								044f-aca4-3be4-bb64	
	quail	are a kind of		bird						# Q 82		63bf-ae3e-f088-9fcb	
	quartz	is a kind of		mineral						#536		fe8b-fc9f-5401-dc19	
a	rabbit	is a kind of		animal								44d7-fef6-90ef-75aa	
a	rabbit	is a kind of		mammal						#180		e58f-f348-e54d-38fe	
a	raccoon	is a kind of		animal						#806		e4ff-648c-242b-c15f	
	radiation	is a kind of		process						#1240		a15e-101d-6fea-e0b6	
a	radio	is a kind of	electrical	device						#1293		e58b-3217-6a20-dde2	
a	radio	is a kind of		tool						#409		c000-3986-2fd0-ebb0	
	radioactive dating	is a kind of		technique		for	determining the age of fossils			#2819		7c63-2d16-cb7f-f483	
	railroad tracks	are a kind of		object								7ffb-2fbf-9c6a-7f2a	
	rain	is a kind of		precipitation						# Q 400		da1e-dca3-f46a-5189	
	rain	is a kind of		water								214a-9ca3-2983-aa79	
a	rainforest	is a kind of		forest								9cd8-1401-0318-9bae	
a	rain gauge	is a kind of	graduated	cylinder						#2007		1732-2d9c-7bc6-4556	
a	rainforest	is a kind of		ecosystem						#3365		4560-3d4b-41c1-7cdb	
	rainwater	is a kind of		water						#1035		c546-7b47-1430-cf87	
	raising	is a kind of		motion						#547		c2ad-3683-d3ec-f235	
a	ramp	is a kind of		object						#256		d99b-5382-b496-b2fd	
	rattle	is a kind of		motion								c946-7dd2-7e3b-c4b7	
	rattle	is a kind of		motion							Dup. All used deleted. 	348b-f9ad-c079-e044	
a	rattle	is a kind of		vibration						#334		dcbe-adb9-3be2-6645	
	reaction to light	is a kind of	chemical 	property						#3206		1c51-920c-5b1c-5ebd	
	reading	is a kind of		activity						#768		3d84-54ff-cea1-4765	
	recycling	is a kind of		method of disposal						# Q 56		f43e-ee8c-d2ee-7e60	
	red	is a kind of		color								c118-527e-6211-a80e	
	reducing	is a kind of		change						#244		bfda-12f7-b81e-5251	
a	redwood tree	is a kind of		tree						# Q 82		f474-99cb-bbd0-140a	
	reflection	is a kind of		process						#3021		dec2-37b6-3a89-cd60	
a	refrigerator	is a kind of		appliance						#440		fb43-38c7-f8b9-ee5d	
a	region	is a kind of		location						#2184		4539-85f1-57c0-5e89	
	regulating	is a kind of		function						#2659		1498-f901-a5e6-d4bf	
	relaxing	is a kind of		movement						#3337		8978-c863-075e-c80b	
	releasing energy	is a kind of		function						#728		1e59-1be2-a1fb-758e	
	removing trees	is a kind of		task						#1290		85ed-5001-a1bd-2bc1	
	removing waste	is a kind of		function						#1424		de82-6668-2baf-1817	
a	renewable resource	is a kind of		natural resource								24cb-9b36-6469-e83f	
a	renewable resource	is a kind of	naturally replaced	resource								a8dc-5ad8-3e2b-3e2a	
	reproducing	is a kind of		activity						#308		d0de-e9fb-4004-8340	
	reproduction	is a kind of		process						# Q 511		1076-5022-7c68-9365	
the	reproductive system	is a kind of	body	system						#2331		9115-927b-89d9-4234	
a	reptile	is a kind of		animal						#590		2055-ec3b-4dfb-58e7	
a	reptile	is a kind of		vertebrate						#3383		5ed3-fca9-25c7-c3a2	
a	requirement	is a kind of		limitation						#3172		badf-ec69-3cb2-0df9	
a	reservoir	is a kind of		body of water						#1325		902c-e87d-dede-6cdc	
a	resident	is a kind of		person						#1840		8a53-4283-77ed-02b1	
the	respiratory system	is a kind of	human; organ; body	system						# Q 2235		1517-61c2-23bb-8cfb	
	rest	is a kind of		activity						#159		3c48-fb11-4242-974f	
	returning	is a kind of		movement						#748		78c5-6ab2-0b31-7bc1	
	revolving	is a kind of		motion						# Q 657		02f7-3d00-6d43-0289	
	rheumatoid arthritis	is a kind of	autoimmune	disease						#2966		fb4c-29a5-410b-d7ff	
a	rhinoceros	is a kind of		animal						#3069		c6c5-1be9-be47-631c	
	Richmond	is a kind of		town						#490		3e49-ad6a-5665-0cd5	
a	ridge	is a kind of		landform						#2960		de49-bdc6-d79f-5fb7	
	riding	is a kind of		motion								74d9-e91b-c38a-b5d2	
	riding something	is a kind of		movement						#1668		eb88-7190-51ea-a396	
	ringing	is a kind of		action						#2012		2d60-9f81-f014-f5d5	
	ringing	is a kind of		function				of a doorbell		#2012		a99c-e41a-2a2b-ad6b	
	rising	is a kind of		motion	 					# Q 15		d257-69b5-a1b9-f7e7	
a	river	is a kind of	flowing; moving	body of water								9885-6337-f26c-cfbd	
a	river	is a kind of		channel	for	water						97bd-f0af-bf53-8596	
a	river basin	is a kind of		land				drained by a river and its tributaries		#2930		0014-77d9-cf4c-a690	
a	road	is a kind of		location						#844		90c5-2559-60d6-ec29	
a	road	is a kind of		object								3234-2820-f7a1-4074	
a	robin	is a kind of		bird						#543		9621-09a0-c0f8-289e	
a	rock	is a kind of		object								7c8b-3728-1d36-f922	
a	rock	is a kind of		object							Dup. All used deleted. 	7f7a-4e87-ae37-26c0	
a	rock	is a kind of		object							Dup. All used deleted. 	376c-0550-d351-b87d	
	rock	is a kind of	nonliving	thing						#705		af33-4409-5f16-cd4c	
	rock	is a kind of		material						#2919		f02e-1327-65eb-5aac	
a	rocket	is a kind of		mechanical system						# Q 16, is okay?		5138-62a8-253e-2817	
a	rocket	is a kind of		vehicle								db13-7d7e-3c0b-55f1	
a	rocket	is a kind of		object						#3047		3f79-9afb-bc36-0789	
a	rod	is a kind of		object						#2011		ec0a-ecbf-8142-bbe8	
a	roll	is a kind of		movement						#500		5c38-cb22-09a4-2287	
a	roller skate	is a kind of		vehicle								d628-d467-b7a5-978a	
	rolling	is a kind of		motion								b545-b586-fd95-b2af	
a	root	is a kind of		object						#3276		e777-a5fe-50c0-ac44	
a	rose	is a kind of		flower						# Q 639		0ffa-d415-c252-1fbb	
	rotation	is a kind of		motion								f603-3c96-a570-1918	
	rubber	is a kind of		electrical insulator							Moved to Prop-Conductivity	e50b-5a98-1529-da25	
	rubber	is a kind of		material						# Q 647		1946-b43f-82d5-547d	
a	rubber band	is a kind of		object						# Q 1122		6a9a-da2d-2dee-c5bc	
	rubbing against something	is a kind of		contact						#599		9550-c1ae-9209-afcd	
a	ruler	is a kind of		tool	for	measuring length				#846		a429-ec06-2e2a-f6f9	
	running	is a kind of		movement						#326		b096-ec41-5c64-f0d4	
	runoff	is a kind of		water						#260		2337-bb5b-8d11-5cc8	
a	runway	is a kind of		pathway	for	airplanes				#2850		c6bb-3c40-e35c-00bb	
	rust forming	is a kind of	chemical	change						#879		3fb1-78ec-77f8-d713	
	safety goggles	are a kind of	safety	gear						#1823		d308-2f92-6950-1fea	
a	salamander	is a kind of		amphibian						#896		92a5-2060-cfc0-1d19	
a	salamander	is a kind of	aquatic	animal						#823		2452-4ec6-cebd-d341	
	salt	is a kind of		solid						#1080		a104-d8c9-efec-46be	
	salt	is a kind of	pure	substance						#279		1fd0-279c-ed27-afca	
a	sand dune	is a kind of		hill								e481-01da-0d36-2db3	
a	sand dune	is a kind of		land formation						# Q 49		c4a5-aa15-26ae-c951	
	sandpaper	is a kind of		paper								e4b8-a6da-d588-9518	
	sandpaper	is a kind of		tool	for	smoothing objects				#2389		537a-713e-72c0-fc78	
	sandstone	is a kind of	sedimentary	rock						#2688		77b8-2e5a-f47d-fda3	
a	satellite	is a kind of		instrument	for	observing Earth's surface				#1885		502e-c41f-5433-c8e0	
	satellites	are a kind of		technological advancement						# Q 2284		8474-b5e2-bbd9-5e69	
	schist	is a kind of		metamorphic rock						# Q 2730		3d37-6e3f-1961-b660	
a	schoolyard	is a kind of		place						# Q 1575		078d-8864-7f8d-5b5a	
a	scientific inference	is a kind of		explanation				based on facts that is not a direct observation		#2875		784e-e1d9-494e-da7b	
a	scientist	is a kind of		human						#1495		ade4-c403-3219-6cb1	
a	scratch	is a kind of		wound						#1664		d5e8-c37b-e2ff-958a	
a	screw	is a kind of	simple	machine						#743		1b74-b53a-b4ec-5b5f	
a	screwdriver	is a kind of	hand	tool						# Q 2280		8245-6011-7c2d-c50f	
	scurvy	is a kind of		disease						#2651		3f66-1249-9322-d6a4	
	sea grass	is a kind of		plant						# Q 2140		58d5-0388-b85d-eb4e	
a	sea star	is a kind of		animal						#3384		0029-b914-e67e-7abd	
a	sea turtle	is a kind of		animal								cc37-fd38-b39c-7eb2	
a	seal	is a kind of		animal						#748		999d-78fd-e16b-a8b6	
a	seal	is a kind of	sea	mammal						#3364		27c2-eb52-d6ef-b092	
a	seashell	is a kind of		object						#1417		8f4d-39c0-8ee7-35e4	
a	seasonal change	is a kind of		environmental change						# Q 144		e3f8-1683-0562-bee2	
